route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113B,SA,115543762,Union Station,0, 113  1,1316736
113B,SA,115543763,Union Station,0, 113  1,1316736
113B,SA,115543764,Union Station,0, 113  1,1316736
113B,SA,115543765,Union Station,0, 113  1,1316736
113B,SA,115543767,Union Station,0, 113  1,1316736
113B,SA,115543769,Union Station,0, 113  1,1316736
113B,SA,115543802,Westminster Station,1, 113  1,1316744
113B,SA,115543803,Westminster Station,1, 113  1,1316744
113B,SA,115543804,Westminster Station,1, 113  1,1316744
113B,SA,115543805,Westminster Station,1, 113  1,1316744
113B,SA,115543806,Westminster Station,1, 113  1,1316744
113B,SA,115543807,Westminster Station,1, 113  1,1316744
113B,SA,115543808,Westminster Station,1, 113  1,1316744
113B,SA,115543809,Westminster Station,1, 113  1,1316744
113B,SA,115543810,Westminster Station,1, 113  1,1316744
113B,SA,115543811,Westminster Station,1, 113  1,1316744
113B,SA,115543812,Westminster Station,1, 113  1,1316744
113B,SA,115543822,Westminster Station,1, 113  1,1316744
113B,SA,115543823,Westminster Station,1, 113  1,1316744
113B,SA,115543824,Westminster Station,1, 113  1,1316744
113B,SA,115543825,Westminster Station,1, 113  1,1316744
113B,SA,115543827,Westminster Station,1, 113  1,1316744
113B,SA,115543851,Westminster Station,1, 113  1,1316744
113B,SA,115543856,Westminster Station,1, 113  1,1316744
113B,SU,115543861,Union Station,0, 113  1,1316736
113B,SU,115543862,Union Station,0, 113  1,1316736
113B,SU,115543863,Union Station,0, 113  1,1316736
113B,SU,115543864,Union Station,0, 113  1,1316736
113B,SU,115543905,Union Station,0, 113  1,1316736
113B,SU,115543907,Union Station,0, 113  1,1316736
113B,SU,115543908,Union Station,0, 113  1,1316736
113B,SU,115543909,Union Station,0, 113  1,1316736
113B,SU,115543910,Union Station,0, 113  1,1316736
113B,SU,115543911,Union Station,0, 113  1,1316736
113B,SU,115543912,Union Station,0, 113  1,1316736
113B,SU,115543913,Union Station,0, 113  1,1316736
113B,SU,115543914,Union Station,0, 113  1,1316736
113B,SU,115543915,Union Station,0, 113  1,1316736
113B,SU,115543916,Union Station,0, 113  1,1316736
113B,SU,115543917,Union Station,0, 113  1,1316736
113B,SU,115543918,Union Station,0, 113  1,1316736
113B,SU,115543919,Union Station,0, 113  1,1316736
113B,SU,115543926,Westminster Station,1, 113  1,1316744
113B,SU,115543931,Westminster Station,1, 113  1,1316744
113B,SU,115543955,Westminster Station,1, 113  1,1316744
113B,SU,115543957,Westminster Station,1, 113  1,1316744
113B,SU,115543958,Westminster Station,1, 113  1,1316744
113B,SU,115543959,Westminster Station,1, 113  1,1316744
113B,SU,115543960,Westminster Station,1, 113  1,1316744
113B,SU,115543961,Westminster Station,1, 113  1,1316744
113B,SU,115543962,Westminster Station,1, 113  1,1316744
113B,SU,115543963,Westminster Station,1, 113  1,1316744
113B,SU,115543964,Westminster Station,1, 113  1,1316744
113B,SU,115543965,Westminster Station,1, 113  1,1316744
113B,SU,115543966,Westminster Station,1, 113  1,1316744
113B,SU,115543980,Westminster Station,1, 113  1,1316744
113B,SU,115543981,Westminster Station,1, 113  1,1316744
113B,SU,115543982,Westminster Station,1, 113  1,1316744
113B,SU,115543983,Westminster Station,1, 113  1,1316744
113B,SU,115543984,Westminster Station,1, 113  1,1316744
113G,FR,115543485,Union Station,0, 113 31,1316730
113G,FR,115543487,Union Station,0, 113 30,1316730
113G,FR,115543505,Union Station,0, 113 30,1316730
113G,FR,115543506,Union Station,0, 113 31,1316730
113G,FR,115543507,Union Station,0, 113 32,1316730
113G,FR,115543508,Union Station,0, 113 30,1316730
113G,FR,115543509,Union Station,0, 113 32,1316730
113G,FR,115543511,Union Station,0, 113 31,1316730
113G,FR,115543512,Union Station,0, 113 32,1316730
113G,FR,115543513,Union Station,0, 113 30,1316730
113G,FR,115543514,Union Station,0, 113 31,1316730
113G,FR,115543515,Union Station,0, 113 32,1316730
113G,FR,115543516,Union Station,0, 113 30,1316730
113G,FR,115543517,Union Station,0, 113 31,1316730
113G,FR,115543518,Union Station,0, 113 30,1316730
113G,FR,115543519,Union Station,0, 113 32,1316730
113G,FR,115543520,Union Station,0, 113 31,1316730
113G,FR,115543521,Union Station,0, 113 30,1316730
113G,FR,115543522,Union Station,0, 113 32,1316730
113G,FR,115543523,Union Station,0, 113 30,1316730
113G,FR,115543524,Union Station,0, 113 31,1316730
113G,FR,115543525,Union Station,0, 113 31,1316730
113G,FR,115543527,Union Station,0, 113 30,1316730
113G,FR,115543528,Union Station,0, 113 32,1316730
113G,FR,115543529,Union Station,0, 113 31,1316730
113G,FR,115543530,Union Station,0, 113 32,1316730
113G,FR,115543531,Union Station,0, 113 30,1316730
113G,FR,115543532,Union Station,0, 113 31,1316730
113G,FR,115543533,Union Station,0, 113 32,1316730
113G,FR,115543534,Union Station,0, 113 31,1316730
113G,FR,115543535,Union Station,0, 113 30,1316730
113G,FR,115543536,Union Station,0, 113 32,1316730
113G,FR,115543537,Union Station,0, 113 30,1316730
113G,FR,115543538,Union Station,0, 113 32,1316730
113G,FR,115543539,Union Station,0, 113 30,1316730
113G,FR,115543540,Union Station,0, 113 31,1316730
113G,FR,115543541,Union Station,0, 113 31,1316730
113G,FR,115543543,Union Station,0, 113 32,1316730
113G,FR,115543544,Union Station,0, 113 30,1316730
113G,FR,115543545,Union Station,0, 113 31,1316730
113G,FR,115543546,Union Station,0, 113 32,1316730
113G,FR,115543547,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543548,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543549,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543550,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543551,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543552,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543553,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543554,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543555,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543556,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543557,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543558,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543559,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543560,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543561,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543562,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543563,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543564,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543565,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543566,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543567,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543568,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543569,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543570,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543571,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543572,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543573,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543591,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543597,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543599,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543600,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543601,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543602,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543603,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543604,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543605,Wheat Ridge Ward Station,1, 113 30,1316747
113G,FR,115543606,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543607,Wheat Ridge Ward Station,1, 113 32,1316747
113G,FR,115543608,Wheat Ridge Ward Station,1, 113 31,1316747
113G,FR,115543609,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543625,Union Station,0, 113 31,1316730
113G,MT,115543626,Union Station,0, 113 30,1316730
113G,MT,115543627,Union Station,0, 113 32,1316730
113G,MT,115543628,Union Station,0, 113 31,1316730
113G,MT,115543629,Union Station,0, 113 30,1316730
113G,MT,115543630,Union Station,0, 113 32,1316730
113G,MT,115543631,Union Station,0, 113 31,1316730
113G,MT,115543632,Union Station,0, 113 30,1316730
113G,MT,115543633,Union Station,0, 113 32,1316730
113G,MT,115543634,Union Station,0, 113 31,1316730
113G,MT,115543635,Union Station,0, 113 30,1316730
113G,MT,115543636,Union Station,0, 113 32,1316730
113G,MT,115543637,Union Station,0, 113 31,1316730
113G,MT,115543638,Union Station,0, 113 30,1316730
113G,MT,115543639,Union Station,0, 113 32,1316730
